Date,UNETOT_PT_ea-md,UNEO25_PT_ea-md,UNEU25_PT_ea-md,REER42_PT_ea-md,LTIRT_PT_ea-md,IPMN_PT_ea-md,IPCAG_PT_ea-md,IPCOG_PT_ea-md,IPDCOG_PT_ea-md,IPNDCOG_PT_ea-md,IPING_PT_ea-md,IPNRG_PT_ea-md,TRNMN_PT_ea-md,TRNCAG_PT_ea-md,TRNCOG_PT_ea-md,TRNDCOG_PT_ea-md,TRNNDCOG_PT_ea-md,TRNING_PT_ea-md,TRNNRG_PT_ea-md,HICPOV_PT_ea-md,HICPNEF_PT_ea-md,HICPG_PT_ea-md,HICPIN_PT_ea-md,HICPSV_PT_ea-md,HICPNG_PT_ea-md,ICONFIX_PT_ea-md,CCONFIX_PT_ea-md,ESENTIX_PT_ea-md,KCONFIX_PT_ea-md,RTCONFIX_PT_ea-md,SCONFIX_PT_ea-md,BCI_PT_ea-md,CCI_PT_ea-md,SHIX_PT_ea-md,GDP_PT_ea-qd,EXPGS_PT_ea-qd,IMPGS_PT_ea-qd,GFCE_PT_ea-qd,HFCE_PT_ea-qd,CONSD_PT_ea-qd,GCF_PT_ea-qd,GFCF_PT_ea-qd,GFACON_PT_ea-qd,GFAMG_PT_ea-qd,GNFCPS_PT_ea-qd,GNFCIR_PT_ea-qd,GHIR_PT_ea-qd,GHSR_PT_ea-qd,TEMP_PT_ea-qd,EMP_PT_ea-qd,SEMP_PT_ea-qd,THOURS_PT_ea-qd,EMPAG_PT_ea-qd,EMPIN_PT_ea-qd,EMPMN_PT_ea-qd,EMPCON_PT_ea-qd,EMPRT_PT_ea-qd,EMPIT_PT_ea-qd,EMPFC_PT_ea-qd,EMPRE_PT_ea-qd,EMPPR_PT_ea-qd,EMPPA_PT_ea-qd,EMPENT_PT_ea-qd,RPRP_PT_ea-qd,WS_PT_ea-qd,ESC_PT_ea-qd,TASS.SDB_PT_ea-qd,TASS.LBD_PT_ea-qd,TASS.SLN_PT_ea-qd,TASS.LLN_PT_ea-qd,TLB.SDB_PT_ea-qd,TLB.LBD_PT_ea-qd,TLB.SLN_PT_ea-qd,TLB.LLN_PT_ea-qd,NFCASS_PT_ea-qd,NFCASS.SLN_PT_ea-qd,NFCASS.LLN_PT_ea-qd,NFCLB_PT_ea-qd,NFCLB.SLN_PT_ea-qd,NFCLB.LLN_PT_ea-qd,GGASS_PT_ea-qd,GGASS.LLN_PT_ea-qd,GGLB_PT_ea-qd,GGLB.SLN_PT_ea-qd,GGLB.LLN_PT_ea-qd,HHASS_PT_ea-qd,HHASS.LLN_PT_ea-qd,HHLB_PT_ea-qd,HHLB.SLN_PT_ea-qd,HHLB.LLN_PT_ea-qd,ULCIN_PT_ea-qd,ULCMQ_PT_ea-qd,ULCMN_PT_ea-qd,ULCCON_PT_ea-qd,ULCRT_PT_ea-qd,ULCFC_PT_ea-qd,ULCRE_PT_ea-qd,ULCPR_PT_ea-qd,DFGDP_PT_ea-qd,INDPRO_fred-md,IPFINAL_fred-md,IPCONGD_fred-md,AWOTMAN_fred-md,AWHMAN_fred-md,FEDFUNDS_fred-md,GS1_fred-md,GS5_fred-md,GS10_fred-md,AAA_fred-md,BAA_fred-md,OILPRICEx_fred-md,CUSR0000SAC_fred-md,PCEPI_fred-md,S&P 500_fred-md,epu_pt_epu,unemployment_up_15_unemployment,exchange_exchange,PPIPT_ppi,inflation_target,OILPRICEx_fred-md_Eur
2000-01-01,5.6,4.4,12.7,96.14621,5.81,123.5,191.3,118.0,129.6,116.5,114.8,93.1,71.1,69.6,80.8,92.3,79.2,70.3,55.1,57.43174044468311,62.7120319664682,63.79334065029263,72.7192841543076,49.77942461364087,42.41942138623589,7.3,-2.4,113.9,-15.8,9.4,10.3,102.2262,102.388,110.4053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.538,97.2486,103.6324,4.9,41.5,5.45,6.12,6.58,6.66,7.78,8.33,27.18,146.7,72.961,1425.59,107.0962010943167,5.6,0.9791,21.5,2.1,27.760187927688694
2000-02-01,5.4,4.1,13.0,95.12462,5.78,122.7,177.4,119.8,131.1,118.2,116.2,95.3,77.2,80.2,87.1,99.8,85.4,77.7,52.0,57.43741313890237,62.74670361923307,63.80558446771587,72.73599141381816,49.86765180250561,42.5383420452069,8.9,-3.0,116.7,-5.6,11.0,14.2,102.5146,102.247,124.9385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.8239,97.777,104.3269,5.0,41.5,5.73,6.22,6.68,6.52,7.68,8.29,29.35,147.6,73.191,1388.87,105.5398778508387,5.4,0.9714,21.9,1.8,30.214123944821907
2000-03-01,5.3,4.0,12.4,94.49293,5.61,116.5,164.6,116.5,124.8,115.3,114.2,85.7,83.9,75.0,97.2,106.7,95.9,86.5,59.3,57.46604601100175,62.81603939664861,63.77324201395442,72.78701812015471,49.93313507361925,42.54458198282256,7.7,-3.2,116.2,-0.1,11.7,11.9,102.6476,101.9521,128.3406,43450.6,10151.5,13257.6,7387.6,28123.5,3524.1,10981.3,11097.5,7270.5,2634.3,38.37,28.05,13.09,11.82,4999.79,4001.43,998.36,2402305.0,622.62,1094.05,1027.21,566.73,1033.47,57.23,93.68,26.7,354.6,899.26,251.47,88.957,12084.3,2891.6,13735.5,79713.1,47668.0,119131.8,6545.5,83772.7,42933.7,133890.8,166552.1,834.4,14004.0,310055.4,29066.2,61001.9,36979.3,1559.2,89960.5,991.2,5177.8,214400.9,6576.3,73355.2,6782.5,59309.7,64.8,,,,72.2,,,,72.43,92.1504,97.7824,103.8262,4.7,41.4,5.85,6.22,6.5,6.26,7.68,8.37,29.89,149.1,73.505,1442.21,68.84414978390637,5.3,0.9553,21.2,1.5,31.288600439652466
2000-04-01,5.2,3.9,12.8,94.90064,5.52,115.5,159.3,118.0,125.3,117.0,112.1,94.8,70.4,65.1,79.6,91.8,77.9,72.7,50.2,57.7225237202465,62.85189903649695,64.17727430510149,73.32135989399586,49.99683219279198,44.15718969792115,8.8,-9.2,114.1,-13.5,6.1,13.2,102.7988,101.5175,115.6546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.6989,98.4993,104.5856,4.8,41.6,6.02,6.15,6.26,5.99,7.64,8.4,25.74,148.5,73.444,1461.36,70.29277764705489,5.2,0.9085,20.0,2.1,28.332416070445788
2000-05-01,5.3,4.0,13.1,94.9676,5.68,120.8,171.0,121.0,127.9,120.2,115.1,107.5,83.2,79.9,92.1,110.3,89.6,86.6,60.2,57.73411839794696,62.98965607943746,64.08734802578725,73.30123821702966,50.15503763092217,43.96954310014669,10.1,-8.0,113.3,-3.7,1.5,6.0,102.8972,101.2843,112.0247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.9499,98.7402,104.6861,4.7,41.2,6.27,6.33,6.69,6.44,7.99,8.9,28.78,148.5,73.505,1418.48,78.4516662742197,5.3,0.9303,17.9,2.5,30.936257121358704
2000-06-01,5.2,4.0,13.0,96.3142,5.54,120.5,167.1,120.4,128.4,119.4,113.7,97.3,85.4,87.6,95.2,104.6,93.9,84.6,65.5,57.97442096500202,63.12577901897451,64.36042441482677,73.41937938076093,50.33721699714641,44.23505371251449,8.6,-9.3,111.7,-11.0,8.2,5.6,102.8114,101.1673,114.8515,43162.5,10044.6,13284.5,7472.4,27739.6,3168.8,11091.9,10720.6,6990.1,2556.1,37.93,32.46,12.33,12.67,5020.98,4020.42,1000.56,2394500.0,627.14,1089.01,1021.52,580.64,1023.11,57.56,95.33,28.19,359.58,907.16,253.26,87.995,12174.6,3027.7,13029.72571644042,81858.62111613878,51005.33778280543,122853.7537707391,5501.697888386124,85341.6802413273,46844.01583710407,137549.9183257919,166928.5163650076,928.6381598793365,13572.54185520362,311362.4790346908,30074.02865761689,61898.30460030166,35581.32413273001,1583.199924585219,89171.16478129712,768.224886877828,4353.390723981899,217934.9300904977,5628.627224736048,74683.552413273,6849.363423831071,61855.60369532429,65.6,,,,71.6,,,,73.375,92.9862,98.8227,104.7488,4.7,41.3,6.53,6.17,6.3,6.1,7.67,8.48,31.83,149.6,73.754,1461.96,74.86429654141119,5.2,0.9556,17.2,2.9,33.3089158643784
2000-07-01,5.3,4.0,12.9,96.41738,5.61,120.5,169.7,118.0,134.3,115.9,109.7,103.7,87.0,84.1,100.9,110.1,99.6,84.1,70.5,58.72744800461417,63.88924713866865,65.22035221372039,74.2975541189702,50.97381230470235,44.82436449440947,8.0,-8.4,114.4,0.3,5.8,11.3,102.7406,101.1257,114.1473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.8048,98.7151,104.1741,4.7,41.5,6.54,6.08,6.18,6.05,7.65,8.35,29.77,149.8,73.939,1473.0,53.39496238369802,5.3,0.9243,17.0,3.3,32.20815752461322
2000-08-01,5.4,4.2,12.5,95.52635,5.57,123.0,175.6,119.7,132.6,118.0,115.8,114.2,65.0,57.0,76.0,69.6,76.7,59.3,73.5,58.89604050079033,63.91160856016472,65.43922755724391,74.35475590805699,51.04705839012004,45.02671381526082,9.9,-8.9,113.5,-5.2,5.0,5.7,102.75,101.0231,112.1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.5521,98.2411,103.7225,4.6,41.1,6.5,6.18,6.06,5.83,7.55,8.26,31.22,149.2,73.934,1485.46,43.03605990452814,5.4,0.8906,14.6,3.5,35.05501908825511
2000-09-01,5.4,4.2,12.6,94.48012,5.63,126.0,172.7,125.8,132.7,124.9,116.1,116.1,86.6,87.8,97.0,110.2,95.2,83.8,73.7,58.98738303711296,64.05811801367508,65.47578308622964,74.40979784427424,51.22937096534589,45.08146320244557,7.3,-11.1,111.8,-4.1,4.1,6.3,102.6892,100.847,113.2955,43849.9,10358.4,13198.7,7555.8,28054.5,3254.6,10997.7,10984.4,7251.2,2525.8,37.62,29.68,12.36,13.23,5060.28,4038.29,1021.99,2441047.0,639.57,1091.18,1026.31,587.19,1037.3,57.18,94.38,28.48,362.85,908.13,254.03,88.702,12510.8,3184.4,14439.32450980392,85421.72684766215,54702.8294117647,128695.5229260935,6529.476546003016,86798.89125188538,48623.75475113122,142407.5097285068,173016.559653092,998.3840120663649,14470.69140271493,319723.8157616893,31495.2419306184,63760.90535444947,37157.36749622926,1596.399849170438,90030.21033182503,832.0920814479638,4381.481447963801,221647.3871040724,5234.296757164405,78068.53944193062,6902.626847662142,64297.9689291101,63.8,,,,70.4,,,,73.985,92.9792,99.0004,104.6846,4.6,41.1,6.52,6.13,5.93,5.8,7.62,8.35,33.88,150.4,74.252,1468.05,54.404882706121,5.4,0.8765,12.8,3.4,38.653736451796924
2000-10-01,5.2,4.0,12.3,94.1576,5.58,124.2,176.1,121.4,131.5,120.1,112.5,108.8,90.5,88.4,100.0,113.8,98.1,88.2,81.3,59.08223939241064,64.13639799163856,65.60494795068436,74.51193936311614,51.30147889393056,45.25865140092006,9.0,-10.8,113.0,-10.9,3.4,6.7,102.7328,100.7122,106.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.6179,98.3939,103.5703,4.6,41.1,6.51,6.01,5.78,5.74,7.55,8.34,33.08,150.1,74.353,1390.14,66.94144165714424,5.2,0.8417,13.1,3.5,39.30141380539384
